name,title,group,value
AgglomerativeCluster,flare/analytics/cluster/AgglomerativeCluster,analytics,3938
CommunityStructure,flare/analytics/cluster/CommunityStructure,analytics,3812
HierarchicalCluster,flare/analytics/cluster/HierarchicalCluster,analytics,6714
MergeEdge,flare/analytics/cluster/MergeEdge,analytics,743
BetweennessCentrality,flare/analytics/graph/BetweennessCentrality,analytics,3534
LinkDistance,flare/analytics/graph/LinkDistance,analytics,5731
MaxFlowMinCut,flare/analytics/graph/MaxFlowMinCut,analytics,7840
ShortestPaths,flare/analytics/graph/ShortestPaths,analytics,5914
SpanningTree,flare/analytics/graph/SpanningTree,analytics,3416
AspectRatioBanker,flare/analytics/optimization/AspectRatioBanker,analytics,7074
Easing,flare/animate/Easing,animate,17010
FunctionSequence,flare/animate/FunctionSequence,animate,5842
ArrayInterpolator,flare/animate/interpolate/ArrayInterpolator,animate,1983
ColorInterpolator,flare/animate/interpolate/ColorInterpolator,animate,2047
DateInterpolator,flare/animate/interpolate/DateInterpolator,animate,1375
Interpolator,flare/animate/interpolate/Interpolator,animate,8746
MatrixInterpolator,flare/animate/interpolate/MatrixInterpolator,animate,2202
NumberInterpolator,flare/animate/interpolate/NumberInterpolator,animate,1382
ObjectInterpolator,flare/animate/interpolate/ObjectInterpolator,animate,1629
PointInterpolator,flare/animate/interpolate/PointInterpolator,animate,1675
RectangleInterpolator,flare/animate/interpolate/RectangleInterpolator,animate,2042
ISchedulable,flare/animate/ISchedulable,animate,1041
Parallel,flare/animate/Parallel,animate,5176
Pause,flare/animate/Pause,animate,449
Scheduler,flare/animate/Scheduler,animate,5593
Sequence,flare/animate/Sequence,animate,5534
Transition,flare/animate/Transition,animate,9201
Transitioner,flare/animate/Transitioner,animate,19975
TransitionEvent,flare/animate/TransitionEvent,animate,1116
Tween,flare/animate/Tween,animate,6006
Converters,flare/data/converters/Converters,data,721
DelimitedTextConverter,flare/data/converters/DelimitedTextConverter,data,4294
GraphMLConverter,flare/data/converters/GraphMLConverter,data,9800
IDataConverter,flare/data/converters/IDataConverter,data,1314
JSONConverter,flare/data/converters/JSONConverter,data,2220
DataField,flare/data/DataField,data,1759
DataSchema,flare/data/DataSchema,data,2165
DataSet,flare/data/DataSet,data,586
DataSource,flare/data/DataSource,data,3331
DataTable,flare/data/DataTable,data,772
DataUtil,flare/data/DataUtil,data,3322
DirtySprite,flare/display/DirtySprite,display,8833
LineSprite,flare/display/LineSprite,display,1732
RectSprite,flare/display/RectSprite,display,3623
TextSprite,flare/display/TextSprite,display,10066
FlareVis,flare/flex/FlareVis,flex,4116
DragForce,flare/physics/DragForce,physics,1082
GravityForce,flare/physics/GravityForce,physics,1336
IForce,flare/physics/IForce,physics,319
NBodyForce,flare/physics/NBodyForce,physics,10498
Particle,flare/physics/Particle,physics,2822
Simulation,flare/physics/Simulation,physics,9983
Spring,flare/physics/Spring,physics,2213
SpringForce,flare/physics/SpringForce,physics,1681
AggregateExpression,flare/query/AggregateExpression,query,1616
And,flare/query/And,query,1027
Arithmetic,flare/query/Arithmetic,query,3891
Average,flare/query/Average,query,891
BinaryExpression,flare/query/BinaryExpression,query,2893
Comparison,flare/query/Comparison,query,5103
CompositeExpression,flare/query/CompositeExpression,query,3677
Count,flare/query/Count,query,781
DateUtil,flare/query/DateUtil,query,4141
Distinct,flare/query/Distinct,query,933
Expression,flare/query/Expression,query,5130
ExpressionIterator,flare/query/ExpressionIterator,query,3617
Fn,flare/query/Fn,query,3240
If,flare/query/If,query,2732
IsA,flare/query/IsA,query,2039
Literal,flare/query/Literal,query,1214
Match,flare/query/Match,query,3748
Maximum,flare/query/Maximum,query,843
add,flare/query/methods/add,query,593
and,flare/query/methods/and,query,330
average,flare/query/methods/average,query,287
count,flare/query/methods/count,query,277
distinct,flare/query/methods/distinct,query,292
div,flare/query/methods/div,query,595
eq,flare/query/methods/eq,query,594
fn,flare/query/methods/fn,query,460
gt,flare/query/methods/gt,query,603
gte,flare/query/methods/gte,query,625
iff,flare/query/methods/iff,query,748
isa,flare/query/methods/isa,query,461
lt,flare/query/methods/lt,query,597
lte,flare/query/methods/lte,query,619
max,flare/query/methods/max,query,283
min,flare/query/methods/min,query,283
mod,flare/query/methods/mod,query,591
mul,flare/query/methods/mul,query,603
neq,flare/query/methods/neq,query,599
not,flare/query/methods/not,query,386
or,flare/query/methods/or,query,323
orderby,flare/query/methods/orderby,query,307
range,flare/query/methods/range,query,772
select,flare/query/methods/select,query,296
stddev,flare/query/methods/stddev,query,363
sub,flare/query/methods/sub,query,600
sum,flare/query/methods/sum,query,280
update,flare/query/methods/update,query,307
variance,flare/query/methods/variance,query,335
where,flare/query/methods/where,query,299
xor,flare/query/methods/xor,query,354
_,flare/query/methods/_,query,264
Minimum,flare/query/Minimum,query,843
Not,flare/query/Not,query,1554
Or,flare/query/Or,query,970
Query,flare/query/Query,query,13896
Range,flare/query/Range,query,1594
StringUtil,flare/query/StringUtil,query,4130
Sum,flare/query/Sum,query,791
Variable,flare/query/Variable,query,1124
Variance,flare/query/Variance,query,1876
Xor,flare/query/Xor,query,1101
IScaleMap,flare/scale/IScaleMap,scale,2105
LinearScale,flare/scale/LinearScale,scale,1316
LogScale,flare/scale/LogScale,scale,3151
OrdinalScale,flare/scale/OrdinalScale,scale,3770
QuantileScale,flare/scale/QuantileScale,scale,2435
QuantitativeScale,flare/scale/QuantitativeScale,scale,4839
RootScale,flare/scale/RootScale,scale,1756
Scale,flare/scale/Scale,scale,4268
ScaleType,flare/scale/ScaleType,scale,1821
TimeScale,flare/scale/TimeScale,scale,5833
Arrays,flare/util/Arrays,util,8258
Colors,flare/util/Colors,util,10001
Dates,flare/util/Dates,util,8217
Displays,flare/util/Displays,util,12555
Filter,flare/util/Filter,util,2324
Geometry,flare/util/Geometry,util,10993
FibonacciHeap,flare/util/heap/FibonacciHeap,util,9354
HeapNode,flare/util/heap/HeapNode,util,1233
IEvaluable,flare/util/IEvaluable,util,335
IPredicate,flare/util/IPredicate,util,383
IValueProxy,flare/util/IValueProxy,util,874
DenseMatrix,flare/util/math/DenseMatrix,util,3165
IMatrix,flare/util/math/IMatrix,util,2815
SparseMatrix,flare/util/math/SparseMatrix,util,3366
Maths,flare/util/Maths,util,17705
Orientation,flare/util/Orientation,util,1486
ColorPalette,flare/util/palette/ColorPalette,util,6367
Palette,flare/util/palette/Palette,util,1229
ShapePalette,flare/util/palette/ShapePalette,util,2059
SizePalette,flare/util/palette/SizePalette,util,2291
Property,flare/util/Property,util,5559
Shapes,flare/util/Shapes,util,19118
Sort,flare/util/Sort,util,6887
Stats,flare/util/Stats,util,6557
Strings,flare/util/Strings,util,22026
Axes,flare/vis/axis/Axes,vis,1302
Axis,flare/vis/axis/Axis,vis,24593
AxisGridLine,flare/vis/axis/AxisGridLine,vis,652
AxisLabel,flare/vis/axis/AxisLabel,vis,636
CartesianAxes,flare/vis/axis/CartesianAxes,vis,6703
AnchorControl,flare/vis/controls/AnchorControl,vis,2138
ClickControl,flare/vis/controls/ClickControl,vis,3824
Control,flare/vis/controls/Control,vis,1353
ControlList,flare/vis/controls/ControlList,vis,4665
DragControl,flare/vis/controls/DragControl,vis,2649
ExpandControl,flare/vis/controls/ExpandControl,vis,2832
HoverControl,flare/vis/controls/HoverControl,vis,4896
IControl,flare/vis/controls/IControl,vis,763
PanZoomControl,flare/vis/controls/PanZoomControl,vis,5222
SelectionControl,flare/vis/controls/SelectionControl,vis,7862
TooltipControl,flare/vis/controls/TooltipControl,vis,8435
Data,flare/vis/data/Data,vis,20544
DataList,flare/vis/data/DataList,vis,19788
DataSprite,flare/vis/data/DataSprite,vis,10349
EdgeSprite,flare/vis/data/EdgeSprite,vis,3301
NodeSprite,flare/vis/data/NodeSprite,vis,19382
ArrowType,flare/vis/data/render/ArrowType,vis,698
EdgeRenderer,flare/vis/data/render/EdgeRenderer,vis,5569
IRenderer,flare/vis/data/render/IRenderer,vis,353
ShapeRenderer,flare/vis/data/render/ShapeRenderer,vis,2247
ScaleBinding,flare/vis/data/ScaleBinding,vis,11275
Tree,flare/vis/data/Tree,vis,7147
TreeBuilder,flare/vis/data/TreeBuilder,vis,9930
DataEvent,flare/vis/events/DataEvent,vis,2313
SelectionEvent,flare/vis/events/SelectionEvent,vis,1880
IControl,flare/vis/controls/IControl,foo,763
PanZoomControl,flare/vis/controls/PanZoomControl,foo,5222
SelectionControl,flare/vis/controls/SelectionControl,foo,7862
TooltipControl,flare/vis/controls/TooltipControl,foo,8435
Data,flare/vis/data/Data,foo,20544
DataList,flare/vis/data/DataList,foo,19788
DataSprite,flare/vis/data/DataSprite,foo,10349
EdgeSprite,flare/vis/data/EdgeSprite,foo,3301
NodeSprite,flare/vis/data/NodeSprite,foo,19382
ArrowType,flare/vis/data/render/ArrowType,foo,698
EdgeRenderer,flare/vis/data/render/EdgeRenderer,foo,5569
IRenderer,flare/vis/data/render/IRenderer,foo,353
ShapeRenderer,flare/vis/data/render/ShapeRenderer,foo,2247
ScaleBinding,flare/vis/data/ScaleBinding,foo,11275
Tree,flare/vis/data/Tree,foo,7147
TreeBuilder,flare/vis/data/TreeBuilder,foo,9930
DataEvent,flare/vis/events/DataEvent,foo,2313
SelectionEvent,flare/vis/events/SelectionEvent,foo,1880
DenseMatrix,flare/util/math/DenseMatrix,bar,3165
IMatrix,flare/util/math/IMatrix,bar,2815
SparseMatrix,flare/util/math/SparseMatrix,bar,3366
Maths,flare/util/Maths,bar,17705
Orientation,flare/util/Orientation,bar,1486
ColorPalette,flare/util/palette/ColorPalette,bar,6367
Palette,flare/util/palette/Palette,bar,1229
ShapePalette,flare/util/palette/ShapePalette,bar,2059
SizePalette,flare/util/palette/SizePalette,bar,2291
AggregateExpression,flare/query/AggregateExpression,baz,1616
And,flare/query/And,baz,1027
Arithmetic,flare/query/Arithmetic,baz,3891
Average,flare/query/Average,baz,891
BinaryExpression,flare/query/BinaryExpression,baz,2893
Comparison,flare/query/Comparison,baz,5103
CompositeExpression,flare/query/CompositeExpression,baz,3677
Count,flare/query/Count,baz,781
DateUtil,flare/query/DateUtil,baz,4141
Distinct,flare/query/Distinct,baz,933
Expression,flare/query/Expression,baz,5130
ExpressionIterator,flare/query/ExpressionIterator,baz,3617
Fn,flare/query/Fn,baz,3240
If,flare/query/If,baz,2732
IsA,flare/query/IsA,baz,2039
Literal,flare/query/Literal,baz,1214
Match,flare/query/Match,baz,3748
Maximum,flare/query/Maximum,baz,843
add,flare/query/methods/add,baz,593
and,flare/query/methods/and,baz,330
AgglomerativeCluster,flare/analytics/cluster/AgglomerativeCluster,lorem,3938
CommunityStructure,flare/analytics/cluster/CommunityStructure,lorem,3812
HierarchicalCluster,flare/analytics/cluster/HierarchicalCluster,lorem,6714
MergeEdge,flare/analytics/cluster/MergeEdge,lorem,743
BetweennessCentrality,flare/analytics/graph/BetweennessCentrality,lorem,3534
LinkDistance,flare/analytics/graph/LinkDistance,lorem,5731
MaxFlowMinCut,flare/analytics/graph/MaxFlowMinCut,lorem,7840
ShortestPaths,flare/analytics/graph/ShortestPaths,lorem,5914
SpanningTree,flare/analytics/graph/SpanningTree,lorem,3416
AspectRatioBanker,flare/analytics/optimization/AspectRatioBanker,lorem,7074
Easing,flare/animate/Easing,lorem,17010
FunctionSequence,flare/animate/FunctionSequence,lorem,5842
ArrayInterpolator,flare/animate/interpolate/ArrayInterpolator,lorem,1983
ColorInterpolator,flare/animate/interpolate/ColorInterpolator,lorem,2047
DateInterpolator,flare/animate/interpolate/DateInterpolator,lorem,1375
Interpolator,flare/animate/interpolate/Interpolator,lorem,8746
MatrixInterpolator,flare/animate/interpolate/MatrixInterpolator,lorem,2202
NumberInterpolator,flare/animate/interpolate/NumberInterpolator,lorem,1382
ObjectInterpolator,flare/animate/interpolate/ObjectInterpolator,lorem,1629
PointInterpolator,flare/animate/interpolate/PointInterpolator,lorem,1675
RectangleInterpolator,flare/animate/interpolate/RectangleInterpolator,lorem,2042
